"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2327959","3591-3421-1","1971163631220899968","106139","106481","205435","8252","","Rho","73","Cyg","","21.56634777","45.59183521","T","38.5566","21.687","-16.05","27.544","G_R3","3.98","1.05","0.885","HIP","6.62","G_R3","-24.341","-93.511","G_R3","10.891","-13.595","-7.231","G8III","T"
"2329421","3183-3283-1","1953794542947272192","106210","106551","205512","8255","","","72","Cyg","","21.57960194","38.53405887","T","71.3807","44.997","-33.061","44.469","G_R3","4.87","0.602","1.085","HIP","-63.942","G_R3","112.808","99.499","G_R3","-34.609","72.796","-13.498","K0III","T"
"2333542","3187-2159-1","1966070246674941824","106369","106711","205835","8266","","","74","Cyg","","21.61582634","40.41352152","T","65.4135","40.414","-29.107","42.408","G_R3","5.04","0.962","0.198","HIP","7.0","HYG","-1.228","11.238","G_R3","2.269","-2.103","7.191","A 5 V","T"
"2333785","6370-1176-1","6830611400810571648","106381","106723","205637","8260","","Eps","39","Cap","","21.618008","-19.466011","HIP_X","271.9079","208.112","-149.708","-90.613","G_R3","4.51","-2.662","-0.18","HIP","-11.716","G_R3","11.978","0.497","G_R3","0.222","18.859","4.509","B3V:p","HYG"
"2335058","5787-1291-1","2667335258168556928","106444","106786","205767","8264","","Xi","23","Aqr","Bunda","21.62919716","-7.85420249","T","54.8475","44.199","-31.599","-7.495","G_R3","4.68","0.984","0.175","HIP","-21.0","HYG","114.89","-24.434","G_R3","-0.256","36.904","-3.424","K0 III","T"
"2335390","4253-2243-1","2216195157578923136","106459","106801","206165","8279","","","9","Cep","","21.632007","62.08194","HIP_X","975.4706","371.734","-265.35","861.944","G_R3","4.76","-5.186","0.246","HIP","-14.138","G_R3","-2.007","-4.293","G_R3","3.496","-13.9","-21.787","B2Ib","HYG"
"2339523","6362-1078-1","6838023243053666688","106642","106985","206088","8278","GJ 4209","Gam","40","Cap","Nashira","21.668181","-16.662308","HIP_X","52.3459","41.0894","-28.7473","-15.0091","G_R3","3.69","0.096","0.32","HIP","-31.2","HYG","200.193","-9.578","G_R3","3.428","58.229","6.669","A7III:mp...","HYG"
"2338553","547-1047-1","2694414129322277504","106601","106944","206067","8277","","","25","Aqr","","21.65924074","2.24355816","T","75.6687","61.852","-43.489","2.962","G_R3","5.1","0.705","1.034","HIP","-34.719","G_R3","-30.179","-83.636","G_R3","-33.645","10.423","-31.337","K0 III","T"
"2339697","3196-2204-1","1966944805097205120","106656","106999","206330","8284","","","75","Cyg","","21.66975311","43.27383202","T","136.2487","81.306","-56.834","93.397","G_R3","5.09","-0.582","1.601","HIP","-29.38","G_R3","60.9","15.491","G_R3","-0.619","48.424","-12.855","M1III","T"
"2342086","9478-1483-1","","106746","107089","205478","8254","Gl 835.1","Nu","","Oct","","21.691253","-77.390046","HIP_X","21.1999","3.808","-2.63","-20.689","HIP","3.73","2.098","1.008","HIP","34.4","HYG","64.83","-240.38","HYG","-9.516","14.49","-38.844","K0III","HYG"
"2342204","5799-1135-1","6841803123511245696","106752","107095","206301","8283","","","42","Cap","","21.69246127","-14.04761146","T","35.8905","28.655","-19.777","-8.712","G_R3","5.16","2.385","0.672","HIP","1.467","G_R3","-121.403","-309.977","G_R3","-21.097","-10.536","-51.518","G2 V","T"
"2343051","6940-1032-1","6816586167927675776","106785","107128","206356","8285","","","41","Cap","","21.70019391","-23.26285875","T","74.1546","56.146","-38.584","-29.287","G_R3","5.24","0.889","0.991","HIP","-44.655","G_R3","91.684","-95.143","G_R3","-26.443","57.278","-13.09","K0 III","T"
"2343214","3603-3215-1","1980828991263480448","106795","107136","206672","8301","","Pi-1","80","Cyg","Azelfafage","21.70157304","51.18961817","T","440.0246","227.3447","-156.1117","342.8779","G_R3","4.69","-3.527","-0.119","HIP","-8.0","HYG","4.934","-3.583","G_R3","6.494","8.026","-10.918","B3V","T"
"2342884","4470-1875-1","2272649822619848064","106776","107119","206952","8317","","","11","Cep","","21.6986923","71.31141939","T","55.0029","14.521","-9.987","52.103","G_R3","4.55","0.848","1.108","HIP","-38.61","G_R3","111.84","92.204","G_R3","-12.432","43.943","-28.871","K0III","T"
"2343527","555-1663-1","2700204093129584128","106808","107151","206487","8289","","","7","Peg","","21.70429198","5.68013635","T","214.3241","175.898","-120.601","21.213","G_R3","5.3","-1.355","1.653","HIP","-12.334","G_R3","10.855","-5.422","G_R3","-3.436","15.728","-6.702","M1","T"
"2344249","6370-1175-1","6836557216095979136","106845","107188","206453","8288","","Kap","43","Cap","","21.71097435","-18.86632186","T","93.4656","73.033","-49.886","-30.223","G_R3","4.72","-0.133","0.868","HIP","-2.855","G_R3","146.354","-8.343","G_R3","33.357","55.744","-2.575","G8 III","T"
"2344987","4470-1874-1","2272956105327778816","106887","107230","207130","8324","","","","Cep","","21.7177895","72.32008433","T","76.0682","19.1","-12.996","72.475","G_R3","5.18","0.774","1.063","HIP","-40.685","G_R3","-43.513","-39.985","G_R3","-7.685","-13.75","-43.142","K1III","T"
